duid,district,lon,lat,height_m,storeys,current_name,proposed_name,grade,name_source,agreeing_sources,confidence,match_distance_m,inside_footprint,method,developer,project,changed
DXB-SAMAAL-71da98d71f,samaaljadaf,55.321877,25.217666,40.8,12,Romaithi Building,Romaithi Building,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-9c8ad7c4b7,samaaljadaf,55.3217,25.216609,30.6,9,,Yasmine Building,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (lodging),,,True
DXB-SAMAAL-204ebc4362,samaaljadaf,55.322587,25.215797,3.2,1,Lilac Residence,Lilac Residence,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-ad3a4a7481,samaaljadaf,55.323932,25.216534,3.4,1,First Abu Dhabi Bank - Al Jaddaf,First Abu Dhabi Bank - Al Jaddaf,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-537766f4ec,samaaljadaf,55.325516,25.218673,61.2,16,Jaddaf Star,Jaddaf Star,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-0f4f23fc00,samaaljadaf,55.325053,25.218819,34.0,10,Orchid Residence Al Jaddaf,Orchid Residence Al Jaddaf,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-9b9553fa95,samaaljadaf,55.328758,25.219361,47.6,14,Al Shirawi 2 Tower,Al Shirawi 2 Tower,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-e53e7481c1,samaaljadaf,55.328471,25.218938,30.6,9,Al Marzooqi building,Al Marzooqi building,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-ac76fedd41,samaaljadaf,55.328945,25.220771,47.6,14,Al Jaddaf Rotana Suite,Al Jaddaf Rotana Suite,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-6a5c653759,samaaljadaf,55.333379,25.222986,51.0,15,Al Jadaf Heights,Al Jadaf Heights,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
